steps,winnings
50000,24756.0
100000,23288.0
150000,-7304.0
200000,20144.0
250000,539.0
300000,-322.0
350000,17031.0
400000,-1480.0
450000,15444.0
500000,17446.0
550000,1127.0
600000,21285.0
650000,-3117.0
700000,18334.0
750000,-6049.0
800000,4472.0
850000,-2474.0
900000,-2322.0
950000,16150.0
1000000,11969.0
1050000,10288.0
1100000,-1510.0
1150000,3188.0
1200000,-3149.0
1250000,-346.0
1300000,-4152.0
1350000,-2421.0
1400000,-3726.0
1450000,-3180.0
1500000,-8526.0
1550000,-1727.0
1600000,6678.0
1650000,-8405.0
1700000,-7844.0
1750000,-5766.0
1800000,-1836.0
1850000,-8146.0
1900000,-5405.0
1950000,-5654.0
2000000,-5621.0
2050000,-2734.0
2100000,-2572.0
2150000,11951.0
2200000,-1270.0
2250000,-4579.0
2300000,-9330.0
2350000,5336.0
2400000,96.0
2450000,9315.0
2500000,-5257.0
2550000,-6658.0
2600000,-8539.0
2650000,10707.0
2700000,16840.0
2750000,-2706.0
2800000,9149.0
2850000,-8050.0
2900000,-4710.0
2950000,4220.0
3000000,47182.0
3050000,-6856.0
3100000,-4667.0
3150000,-336.0
3200000,3936.0
3250000,3360.0
3300000,2304.0
3350000,480.0
3400000,2064.0
3450000,-2448.0
3500000,-1200.0
3550000,-1968.0
3600000,-384.0
3650000,816.0
