steps,winnings
50000,13233.0
100000,11513.5
150000,11874.5
200000,14958.5
250000,12535.0
300000,14704.5
350000,17302.5
400000,13569.5
450000,9530.5
500000,13240.5
550000,15015.5
600000,12513.5
650000,15290.5
700000,10178.5
750000,10704.0
800000,9216.5
850000,15115.5
900000,11335.5
950000,7150.5
1000000,9564.0
1050000,9284.0
1100000,9582.5
1150000,5317.0
1200000,4119.0
1250000,8706.0
1300000,11280.5
1350000,14162.0
1400000,15632.0
1450000,2769.5
1500000,6047.5
1550000,10012.0
1600000,14773.0
1650000,9018.0
1700000,1653.0
1750000,9511.0
1800000,9124.5
1850000,7433.0
1900000,8714.5
1950000,9314.0
2000000,7048.0
2050000,9616.5
2100000,7914.0
2150000,4521.5
2200000,3949.0
2250000,6373.0
2300000,4922.5
2350000,8904.5
2400000,10254.0
2450000,7424.5
2500000,7339.5
2550000,6790.5
2600000,10508.5
2650000,4727.5
2700000,5131.5
2750000,6502.5
2800000,7917.0
2850000,5253.0
2900000,2420.5
2950000,8102.0
3000000,3970.5
3050000,3597.0
3100000,-1770.0
3150000,4468.5
3200000,2835.5
3250000,3057.0
3300000,2301.0
3350000,-603.0
3400000,4707.0
3450000,3491.5
3500000,-391.5
3550000,2461.5
3600000,5475.5
3650000,6899.5
