steps,winnings
2500,3696.0
5000,-48.0
7500,5856.0
10000,384.0
12500,3360.0
15000,420.0
17500,-2256.0
20000,-384.0
22500,-432.0
25000,-2352.0
27500,476.0
30000,1176.0
32500,56.0
35000,266.0
37500,-288.0
40000,1680.0
42500,3600.0
45000,1372.0
47500,-4272.0
50000,700.0
52500,210.0
55000,-938.0
57500,1536.0
60000,-196.0
62500,-864.0
65000,3216.0
67500,1750.0
70000,864.0
72500,-308.0
75000,-112.0
77500,-1106.0
80000,-70.0
82500,-1358.0
85000,-2640.0
87500,-2304.0
90000,1204.0
92500,-864.0
95000,3648.0
97500,2928.0
100000,-756.0
102500,336.0
105000,-2160.0
107500,-826.0
110000,1968.0
112500,518.0
115000,826.0
117500,-2640.0
