steps,winnings
50000,-38519.5
100000,-34329.5
150000,-30017.0
200000,-26312.0
250000,-25346.5
300000,-29008.5
350000,-23784.5
400000,-24702.5
450000,-25796.5
500000,-23159.5
550000,-20538.0
600000,-21038.0
650000,-22459.0
700000,-19802.0
750000,-18387.0
800000,-21157.0
850000,-16134.5
900000,-17266.0
950000,-14429.0
1000000,-15674.5
1050000,-17686.5
1100000,-18281.0
1150000,-17557.0
1200000,-10813.5
1250000,-13535.0
1300000,-12830.0
1350000,-12884.5
1400000,-11711.0
1450000,-13027.5
1500000,-11611.0
1550000,-10740.0
1600000,-7559.0
1650000,-16122.5
1700000,-9572.5
1750000,-10131.5
1800000,-8447.5
1850000,-14885.0
1900000,-14046.0
1950000,-15746.5
2000000,-11590.0
2050000,-7663.5
2100000,-8039.5
2150000,-10610.0
2200000,-9646.0
2250000,-9935.5
2300000,-7443.0
2350000,-13995.0
2400000,-11124.0
2450000,-11228.0
2500000,-11103.0
2550000,-9276.0
2600000,-10227.0
2650000,-8359.0
2700000,-10394.5
2750000,-12215.0
2800000,-9745.0
2850000,-8347.0
2900000,-10522.0
2950000,-9300.0
3000000,-9917.0
3050000,-10486.0
3100000,-4819.5
3150000,-10086.5
3200000,-11321.0
3250000,-7558.0
3300000,-9914.0
3350000,-10331.5
3400000,-7358.0
3450000,-9737.5
3500000,-9248.0
3550000,-6498.0
3600000,-8987.0
3650000,-8040.0
3700000,-4698.0
3750000,-7253.5
3800000,-8522.0
3850000,-4158.0
3900000,-10551.0
3950000,-5773.0
4000000,-10056.5
4050000,-2391.0
4100000,-5728.5
4150000,-4022.0
4200000,-5593.0
4250000,-3023.5
4300000,-7953.5
4350000,-6342.0
4400000,-7062.0
4450000,-1316.5
4500000,-7312.0
4550000,-7029.0
4600000,-7276.0
4650000,-5655.0
4700000,-7318.5
4750000,-4438.5
4800000,-4923.0
4850000,-7872.0
4900000,-2915.5
4950000,-1582.0
5000000,-4604.0
5050000,-5375.5
5100000,-6201.0
5150000,-6819.5
5200000,-7656.5
5250000,-3157.0
5300000,-5401.5
5350000,-5207.0
5400000,-3212.0
5450000,-934.0
5500000,-3450.0
5550000,-1361.5
5600000,-3065.0
5650000,-5295.0
5700000,-1410.0
5750000,-2553.0
5800000,228.0
5850000,-5496.5
5900000,-8697.5
5950000,-8972.0
6000000,-3637.5
6050000,-4490.0
6100000,-4229.0
6150000,-1582.0
6200000,-4528.5
6250000,-2491.0
6300000,-8390.0
6350000,-1644.5
6400000,-2998.5
6450000,-4351.5
6500000,-1554.5
6550000,-5689.5
6600000,-4832.0
6650000,990.0
6700000,-12.0
6750000,-6379.0
6800000,-2211.0
6850000,-5145.5
6900000,-1942.5
6950000,-1508.0
7000000,-5361.0
