steps,winnings
2500,-824.0
5000,-728.0
7500,672.0
10000,462.0
12500,265.0
15000,322.0
17500,476.0
20000,38.0
22500,-140.0
25000,-587.0
27500,-126.0
30000,168.0
32500,0.0
35000,728.0
37500,104.0
40000,-756.0
42500,770.0
45000,-1008.0
47500,1022.0
50000,-532.0
52500,60.0
55000,182.0
57500,546.0
60000,1036.0
62500,-14.0
65000,-728.0
67500,-1022.0
70000,-308.0
72500,-1148.0
75000,378.0
77500,-102.0
80000,406.0
82500,30.0
85000,-238.0
87500,210.0
90000,-168.0
92500,-350.0
95000,36.0
97500,252.0
100000,88.0
102500,-160.0
105000,98.0
107500,-8.0
110000,-546.0
112500,434.0
115000,-420.0
117500,-18.0
120000,182.0
122500,140.0
125000,-168.0
127500,490.0
130000,-54.0
132500,-364.0
135000,4.0
137500,-84.0
140000,-220.0
142500,896.0
145000,1148.0
147500,-46.0
150000,-1470.0
152500,-98.0
155000,-714.0
157500,-48.0
160000,18.0
162500,178.0
165000,336.0
167500,448.0
170000,602.0
172500,-392.0
175000,-24.0
177500,-140.0
180000,-700.0
182500,-110.0
185000,-76.0
187500,756.0
190000,-1050.0
192500,-308.0
195000,-114.0
197500,42.0
200000,154.0
202500,826.0
205000,-1288.0
207500,1176.0
210000,882.0
212500,98.0
215000,-170.0
217500,-98.0
220000,-70.0
222500,-966.0
225000,28.0
227500,48.0
230000,1442.0
232500,588.0
235000,-686.0
237500,-658.0
240000,602.0
242500,-110.0
245000,28.0
247500,-72.0
250000,-322.0
252500,86.0
255000,-840.0
257500,84.0
260000,-48.0
262500,70.0
265000,434.0
267500,-854.0
270000,266.0
272500,-70.0
275000,-1148.0
277500,490.0
280000,854.0
282500,-840.0
285000,82.0
287500,22.0
290000,-2016.0
292500,86.0
295000,-64.0
297500,364.0
300000,-294.0
302500,-224.0
305000,164.0
307500,-280.0
310000,-84.0
312500,658.0
315000,644.0
317500,-938.0
320000,210.0
322500,60.0
325000,14.0
327500,44.0
330000,46.0
332500,208.0
335000,-112.0
337500,-994.0
340000,-140.0
342500,-90.0
345000,-672.0
347500,1022.0
350000,70.0
352500,126.0
355000,140.0
357500,-252.0
360000,156.0
362500,-132.0
365000,34.0
367500,574.0
370000,282.0
372500,28.0
375000,44.0
377500,134.0
380000,-336.0
382500,-74.0
385000,-72.0
387500,256.0
390000,-364.0
392500,-148.0
395000,-174.0
397500,-90.0
400000,-336.0
402500,-40.0
405000,-130.0
407500,-462.0
410000,12.0
412500,126.0
415000,378.0
417500,26.0
420000,4.0
