steps,winnings
50000,-33014.0
100000,-3703.0
150000,-37284.0
200000,-28394.0
250000,-35160.0
300000,-7148.0
350000,-634.0
400000,-7337.0
450000,-6889.0
500000,3929.0
550000,2389.0
600000,-6571.0
650000,1991.0
700000,-4645.0
750000,-1340.0
800000,-7966.0
850000,-1866.0
900000,4904.0
950000,1772.0
1000000,-2601.0
1050000,-893.0
1100000,-11003.0
1150000,-1441.0
1200000,-2452.0
1250000,1900.0
1300000,2065.0
1350000,1582.0
1400000,2456.0
1450000,-2129.0
1500000,-900.0
1550000,-6972.0
1600000,-604.0
1650000,-580.0
1700000,-1306.0
1750000,-1454.0
1800000,2719.0
1850000,-25834.0
1900000,4211.0
1950000,2380.0
2000000,3828.0
2050000,4636.0
2100000,316.0
2150000,5680.0
2200000,2580.0
2250000,-25426.0
2300000,-1290.0
2350000,4105.0
2400000,-4386.0
2450000,2940.0
2500000,3478.0
2550000,5973.0
2600000,-862.0
2650000,328.0
2700000,2615.0
2750000,4132.0
2800000,3071.0
2850000,3513.0
2900000,1332.0
2950000,-2592.0
3000000,-8307.0
3050000,3024.0
3100000,1776.0
3150000,2256.0
3200000,-528.0
3250000,-255.0
3300000,-2256.0
3350000,-980.0
3400000,6096.0
3450000,514.0
3500000,-210.0
3550000,448.0
3600000,2688.0
3650000,480.0
3700000,-2112.0
3750000,210.0
3800000,-144.0
3850000,-1536.0
3900000,-3335.0
3950000,-3776.0
4000000,-912.0
4050000,240.0
4100000,2400.0
4150000,4658.0
4200000,-1584.0
4250000,384.0
4300000,-294.0
4350000,2544.0
4400000,816.0
4450000,1824.0
4500000,2112.0
4550000,2160.0
4600000,-960.0
4650000,42.0
4700000,2102.0
4750000,-3216.0
4800000,-1815.0
4850000,-1428.0
4900000,-3264.0
4950000,-960.0
5000000,-336.0
5050000,-144.0
5100000,4608.0
5150000,-1833.0
5200000,-4596.0
5250000,146.0
5300000,672.0
5350000,-2611.0
5400000,-864.0
5450000,1680.0
5500000,3275.0
5550000,1920.0
5600000,624.0
5650000,-2160.0
5700000,-816.0
5750000,268.0
5800000,-288.0
5850000,-4272.0
5900000,-1641.0
5950000,2688.0
6000000,1920.0
6050000,-960.0
6100000,5232.0
6150000,-362.0
6200000,-2016.0
6250000,672.0
6300000,373.0
6350000,2083.0
6400000,3261.0
6450000,2411.0
6500000,2880.0
6550000,-96.0
6600000,5280.0
6650000,162.0
6700000,336.0
6750000,-2395.0
6800000,-3216.0
6850000,5184.0
6900000,-1248.0
6950000,1162.0
7000000,912.0
