steps,winnings
2500,2784.0
5000,-1344.0
7500,1008.0
10000,960.0
12500,-1056.0
15000,-1584.0
17500,-2352.0
20000,742.0
22500,1104.0
25000,2304.0
27500,-1120.0
30000,2400.0
32500,768.0
35000,-1632.0
37500,-1288.0
40000,2352.0
42500,2256.0
45000,-2448.0
47500,0.0
50000,-3888.0
52500,392.0
55000,1824.0
57500,4656.0
60000,1728.0
62500,-504.0
65000,-1776.0
67500,3744.0
70000,-1968.0
72500,-1056.0
75000,-96.0
77500,448.0
80000,1104.0
82500,-98.0
85000,528.0
87500,48.0
90000,240.0
92500,-3120.0
95000,14.0
97500,-3120.0
100000,532.0
102500,-588.0
105000,288.0
107500,-308.0
110000,576.0
112500,-432.0
115000,2400.0
117500,-1834.0
120000,-28.0
122500,-1632.0
125000,-1536.0
127500,1680.0
130000,-476.0
132500,-1776.0
135000,280.0
137500,-658.0
140000,-924.0
142500,1728.0
145000,3600.0
147500,1036.0
150000,-3888.0
152500,-2784.0
155000,-3648.0
157500,784.0
160000,1596.0
162500,1330.0
165000,-816.0
167500,2352.0
170000,-1392.0
172500,1824.0
175000,1134.0
177500,-624.0
180000,768.0
182500,840.0
185000,-546.0
187500,2016.0
190000,1680.0
192500,-2928.0
195000,658.0
197500,-210.0
200000,1248.0
202500,1536.0
205000,1680.0
207500,2496.0
210000,2064.0
212500,252.0
215000,616.0
217500,-574.0
220000,-1834.0
222500,2544.0
225000,-1036.0
227500,308.0
230000,1824.0
232500,-48.0
235000,1536.0
237500,3408.0
240000,288.0
242500,-154.0
245000,56.0
247500,-980.0
250000,1584.0
252500,-112.0
255000,4704.0
257500,42.0
260000,-42.0
262500,224.0
265000,288.0
267500,1632.0
270000,-432.0
272500,532.0
275000,2256.0
277500,4224.0
280000,-5472.0
282500,-3504.0
285000,0.0
287500,588.0
290000,-5280.0
292500,70.0
295000,616.0
297500,672.0
300000,720.0
302500,-1536.0
305000,294.0
307500,-4176.0
310000,1296.0
312500,-1536.0
315000,-912.0
317500,-960.0
320000,4128.0
322500,350.0
325000,-2400.0
327500,1078.0
330000,182.0
332500,-1722.0
335000,-960.0
337500,1104.0
340000,3840.0
342500,784.0
345000,-3216.0
347500,-2832.0
350000,-672.0
352500,1824.0
355000,816.0
357500,-1968.0
360000,280.0
362500,-392.0
365000,378.0
367500,-1728.0
370000,322.0
372500,196.0
375000,98.0
377500,896.0
380000,-624.0
382500,-28.0
385000,-126.0
387500,-1694.0
390000,-192.0
392500,854.0
395000,1064.0
397500,336.0
400000,960.0
402500,-616.0
405000,-336.0
407500,-1248.0
410000,-98.0
412500,3504.0
415000,5040.0
417500,70.0
420000,1316.0
422500,-308.0
