steps,winnings
50000,25997.0
100000,21791.5
150000,18921.0
200000,18623.5
250000,15581.5
300000,18261.5
350000,16821.0
400000,18691.5
450000,17102.0
500000,16834.0
550000,14061.5
600000,13288.5
650000,12259.0
700000,15946.5
750000,10577.0
800000,13730.5
850000,11528.0
900000,14008.5
950000,12679.5
1000000,11586.5
1050000,12795.5
1100000,9837.5
1150000,9424.5
1200000,5751.0
1250000,9779.0
1300000,7849.5
1350000,9612.0
1400000,9161.0
1450000,10916.5
1500000,4240.0
1550000,11467.5
1600000,2809.5
1650000,8664.5
1700000,7394.5
1750000,6802.5
1800000,8744.5
1850000,8478.0
1900000,6420.5
1950000,6682.5
2000000,6299.0
2050000,6450.0
2100000,5657.0
2150000,6598.5
2200000,5104.0
2250000,5598.0
2300000,4712.5
2350000,5267.0
2400000,4975.5
2450000,7124.5
2500000,2542.5
2550000,7388.0
2600000,2798.0
2650000,2859.5
2700000,2402.0
2750000,2799.5
2800000,5391.0
2850000,5909.0
2900000,2676.5
2950000,3155.0
3000000,6225.5
3050000,3368.0
3100000,2531.0
3150000,4797.5
3200000,2342.0
3250000,3300.0
3300000,4141.5
3350000,3726.5
3400000,5101.5
3450000,1940.0
3500000,4595.0
3550000,3456.0
3600000,4004.5
3650000,4544.0
3700000,2388.5
3750000,7384.5
3800000,59.5
3850000,4673.0
3900000,8336.5
3950000,1312.5
4000000,551.5
4050000,4782.5
4100000,5219.5
4150000,3135.5
4200000,2731.5
4250000,3253.5
4300000,3226.5
4350000,1830.5
4400000,1658.0
4450000,2521.5
4500000,615.5
4550000,1294.5
4600000,337.5
4650000,-1675.0
4700000,1585.5
4750000,1040.0
4800000,-1804.0
4850000,8234.5
4900000,1379.5
4950000,3190.5
5000000,768.0
5050000,7.0
5100000,241.5
5150000,-310.5
5200000,3955.5
5250000,3410.5
5300000,-2074.5
5350000,3436.5
5400000,1583.5
5450000,-263.0
5500000,-1719.0
5550000,2523.5
5600000,826.0
5650000,3441.5
5700000,-1050.0
5750000,2669.0
5800000,469.5
5850000,3555.5
5900000,1248.0
5950000,-117.5
6000000,1714.0
6050000,2719.0
6100000,1677.0
6150000,1893.5
6200000,3734.5
6250000,-1520.0
6300000,1044.0
6350000,-300.5
6400000,2260.5
6450000,-1655.5
6500000,1385.5
6550000,1448.5
6600000,-1676.0
6650000,-121.0
6700000,1445.0
6750000,1937.5
6800000,-1456.0
6850000,1222.5
6900000,-906.0
6950000,1462.5
