steps,winnings
50000,-38975.5
100000,-33295.0
150000,-28901.5
200000,-28041.5
250000,-26292.5
300000,-29930.5
350000,-29020.5
400000,-25982.0
450000,-23433.5
500000,-24085.5
550000,-22058.5
600000,-24345.0
650000,-18498.5
700000,-24181.0
750000,-19318.0
800000,-18555.5
850000,-14962.5
900000,-21658.0
950000,-19004.5
1000000,-13155.5
1050000,-20101.0
1100000,-13056.5
1150000,-18351.5
1200000,-14970.0
1250000,-16066.0
1300000,-13394.5
1350000,-13810.0
1400000,-13037.5
1450000,-16614.0
1500000,-10493.0
1550000,-16136.0
1600000,-16042.0
1650000,-12877.5
1700000,-10942.0
1750000,-15403.5
1800000,-10520.0
1850000,-12222.0
1900000,-12847.5
1950000,-11335.0
2000000,-11362.5
2050000,-11777.5
2100000,-12128.0
2150000,-9079.5
2200000,-9756.0
2250000,-12236.0
2300000,-12546.0
2350000,-10273.5
2400000,-6326.5
2450000,-8955.0
2500000,-9634.0
2550000,-6990.0
2600000,-11874.0
2650000,-8978.0
2700000,-10415.0
2750000,-8433.0
2800000,-10342.0
2850000,-6273.0
2900000,-6819.0
2950000,-7528.0
3000000,-10254.0
3050000,-8963.0
3100000,-6373.5
3150000,-10514.0
3200000,-7772.5
3250000,-9228.0
3300000,-5244.0
3350000,-8971.0
3400000,-8985.5
3450000,-7020.0
3500000,-11878.5
3550000,-7034.0
3600000,-6492.0
3650000,-5455.0
3700000,-5792.5
3750000,-10798.5
3800000,-9080.0
3850000,-8438.5
3900000,-6807.0
3950000,-10508.5
4000000,-6608.5
4050000,-3881.0
4100000,-7988.0
4150000,-5905.5
4200000,-5882.0
4250000,-5876.5
4300000,-9579.0
4350000,-2020.0
4400000,-3427.5
4450000,-7595.0
4500000,-5735.0
4550000,-5621.0
4600000,-1572.5
4650000,-1567.0
4700000,-6250.0
4750000,-4401.0
4800000,-1009.0
4850000,-5454.0
4900000,-10182.5
4950000,-7307.5
5000000,-3693.5
5050000,-4265.0
5100000,-3039.0
5150000,-2974.0
5200000,-36.5
5250000,-6189.5
5300000,-5771.5
5350000,-3783.0
5400000,-8111.5
5450000,353.5
5500000,-1210.5
5550000,-4147.0
5600000,-6877.0
5650000,-4503.0
5700000,-1108.5
5750000,-673.5
5800000,-3788.0
5850000,-2854.5
5900000,-7102.5
5950000,-5310.0
6000000,-3337.5
6050000,-2351.0
6100000,-5532.5
6150000,-3317.5
6200000,-4576.0
6250000,-2565.5
6300000,-8051.0
6350000,-4513.0
6400000,-1276.5
6450000,-311.5
6500000,-1135.0
6550000,-2267.0
6600000,-6708.5
6650000,-5289.0
6700000,-5556.5
6750000,-4471.0
6800000,-1766.5
6850000,-6757.5
6900000,-2684.5
6950000,-4630.0
7000000,-456.5
