steps,winnings
50000,-28433.0
100000,-29264.0
150000,-19604.5
200000,-27543.5
250000,-28314.5
300000,-24933.0
350000,-31722.0
400000,-24429.5
450000,-21066.0
500000,-26735.5
550000,-27897.0
600000,-19275.0
650000,-25571.0
700000,-22126.0
750000,-19985.0
800000,-20884.0
850000,-24788.0
900000,-21295.0
950000,-19212.0
1000000,-21404.0
1050000,-16583.0
1100000,-22088.5
1150000,-18581.0
1200000,-15477.5
1250000,-19950.5
1300000,-20440.5
1350000,-27282.5
1400000,-23401.5
1450000,-12098.5
1500000,-14596.0
1550000,-20707.0
1600000,-22676.5
1650000,-18019.5
1700000,-13194.0
1750000,-18936.0
1800000,-21098.5
1850000,-19688.0
1900000,-21272.0
1950000,-17479.0
2000000,-17990.5
2050000,-18975.5
2100000,-19058.0
2150000,-9220.5
2200000,-16374.0
2250000,-12488.5
2300000,-15298.5
2350000,-17995.5
2400000,-21130.5
2450000,-17060.0
2500000,-16403.5
2550000,-16847.0
2600000,-16631.0
2650000,-19390.0
2700000,-14730.0
2750000,-17300.5
2800000,-17183.0
2850000,-13856.0
2900000,-15441.0
2950000,-17456.5
3000000,-13108.5
3050000,-14599.0
3100000,-10849.5
3150000,-12307.0
3200000,-9644.5
3250000,-16680.5
3300000,-13623.0
3350000,-11066.0
3400000,-15620.5
3450000,-14817.0
3500000,-4970.0
3550000,-1991.5
3600000,-9687.0
3650000,-14520.5
3700000,-5991.5
