steps,winnings
50000,-29852.0
100000,-27203.0
150000,-20901.5
200000,-26443.0
250000,-26677.5
300000,-29077.5
350000,-28609.5
400000,-30909.0
450000,-21118.5
500000,-27492.5
550000,-25643.0
600000,-23532.5
650000,-29397.5
700000,-19787.0
750000,-20594.5
800000,-21436.5
850000,-28249.5
900000,-24625.5
950000,-17630.0
1000000,-17710.5
1050000,-21676.5
1100000,-20160.0
1150000,-21605.0
1200000,-14443.0
1250000,-21922.5
1300000,-15572.0
1350000,-26318.5
1400000,-25275.5
1450000,-12525.5
1500000,-19291.0
1550000,-23189.5
1600000,-20891.0
1650000,-20075.5
1700000,-14839.0
1750000,-18421.0
1800000,-18633.5
1850000,-18081.5
1900000,-20481.0
1950000,-20981.5
2000000,-13949.0
2050000,-21793.5
2100000,-16120.0
2150000,-10967.5
2200000,-12611.5
2250000,-13483.0
2300000,-16650.0
2350000,-20615.5
2400000,-19953.0
2450000,-14666.0
2500000,-14828.5
2550000,-16626.5
2600000,-23751.0
2650000,-14289.0
2700000,-17081.0
2750000,-14957.0
2800000,-14390.5
2850000,-10314.5
2900000,-8873.5
2950000,-15877.5
3000000,-9131.0
3050000,-10250.0
3100000,-5414.5
3150000,-15424.0
3200000,-9368.5
3250000,-15709.5
3300000,-12125.5
3350000,-12283.5
3400000,-13512.0
3450000,-11757.5
3500000,-7348.0
3550000,-10482.5
3600000,-11969.5
3650000,-16616.0
3700000,-8434.5
