steps,winnings
2500,-7104.0
5000,5328.0
7500,-720.0
10000,-3360.0
12500,432.0
15000,-1296.0
17500,1296.0
20000,2366.0
22500,-240.0
25000,4368.0
27500,364.0
30000,-2112.0
32500,-1248.0
35000,-336.0
37500,1064.0
40000,3360.0
42500,5280.0
45000,3936.0
47500,-5136.0
50000,3408.0
52500,-378.0
55000,1920.0
57500,-2016.0
60000,2880.0
62500,1568.0
65000,-2304.0
67500,-912.0
70000,-432.0
72500,144.0
75000,-1056.0
77500,-840.0
80000,-3216.0
82500,672.0
85000,-1008.0
87500,1296.0
90000,1104.0
92500,-528.0
95000,854.0
97500,-2208.0
100000,392.0
102500,630.0
105000,3072.0
107500,-966.0
110000,1152.0
112500,-192.0
115000,-2448.0
117500,-126.0
120000,588.0
122500,1872.0
125000,96.0
127500,-1824.0
130000,1008.0
132500,1392.0
135000,434.0
137500,-672.0
140000,-1064.0
142500,2928.0
145000,2544.0
147500,56.0
150000,384.0
152500,-432.0
155000,3792.0
157500,574.0
160000,-126.0
162500,98.0
165000,-2496.0
167500,720.0
170000,-144.0
172500,3696.0
175000,-196.0
177500,3456.0
180000,1776.0
182500,-210.0
185000,-210.0
187500,1824.0
190000,1632.0
192500,4992.0
195000,-1456.0
197500,266.0
200000,-384.0
202500,-3264.0
205000,1440.0
207500,768.0
210000,672.0
212500,56.0
215000,672.0
217500,-630.0
220000,756.0
222500,1584.0
225000,-56.0
227500,-1064.0
230000,2160.0
232500,-1152.0
235000,48.0
237500,432.0
240000,1200.0
242500,308.0
245000,-210.0
247500,420.0
250000,-432.0
252500,378.0
255000,-720.0
257500,-266.0
260000,-1540.0
262500,1218.0
265000,2112.0
267500,4896.0
270000,4560.0
272500,378.0
275000,-192.0
277500,-2592.0
280000,-1872.0
282500,2592.0
285000,-1148.0
287500,-350.0
290000,2112.0
292500,-910.0
295000,-476.0
297500,-4848.0
300000,-4848.0
302500,2880.0
305000,-532.0
307500,48.0
310000,-1056.0
312500,-432.0
315000,2064.0
317500,-1104.0
320000,192.0
322500,952.0
325000,1584.0
327500,-420.0
330000,42.0
332500,-574.0
335000,-4368.0
337500,-1776.0
340000,3168.0
342500,420.0
345000,-1968.0
347500,-336.0
350000,-3888.0
352500,2160.0
355000,96.0
357500,2784.0
360000,-1120.0
362500,-1554.0
365000,280.0
367500,1200.0
370000,28.0
372500,-938.0
375000,504.0
377500,-630.0
380000,-2448.0
382500,476.0
385000,-854.0
387500,308.0
390000,1392.0
392500,-392.0
395000,-490.0
397500,-462.0
400000,-2256.0
402500,1078.0
405000,154.0
407500,2208.0
410000,364.0
412500,48.0
415000,1920.0
417500,1008.0
420000,448.0
422500,784.0
