steps,winnings
50000,-27028.0
100000,-27669.0
150000,763.0
200000,-18835.0
250000,2219.0
300000,3166.0
350000,-17048.0
400000,3407.0
450000,-12021.0
500000,-21370.0
550000,-2988.0
600000,-18037.0
650000,7126.0
700000,-22257.0
750000,3406.0
800000,-3860.0
850000,9281.0
900000,8185.0
950000,-13847.0
1000000,-6583.0
1050000,-7457.0
1100000,3590.0
1150000,-7897.0
1200000,1981.0
1250000,8611.0
1300000,5292.0
1350000,549.0
1400000,5619.0
1450000,5213.0
1500000,10332.0
1550000,-727.0
1600000,-7728.0
1650000,6485.0
1700000,7877.0
1750000,4162.0
1800000,3719.0
1850000,7378.0
1900000,4043.0
1950000,5757.0
2000000,4478.0
2050000,2004.0
2100000,5454.0
2150000,-10093.0
2200000,-1751.0
2250000,2517.0
2300000,6079.0
2350000,-2698.0
2400000,-507.0
2450000,-7963.0
2500000,4726.0
2550000,1864.0
2600000,5332.0
2650000,-8233.0
2700000,-15404.0
2750000,6346.0
2800000,-12557.0
2850000,6278.0
2900000,7097.0
2950000,-5684.0
3000000,-46478.0
3050000,4909.0
3100000,5297.0
3150000,784.0
3200000,816.0
3250000,-4656.0
3300000,3696.0
3350000,1392.0
3400000,240.0
3450000,1392.0
3500000,-1776.0
3550000,-768.0
3600000,3024.0
3650000,-4416.0
3700000,1920.0
